PO Number,Stage,Year,Drug,Programme,Quantity,Estimated Shipment Arrival,Estimated Packing Completion,Packing List Received,Actual Shipment Date,Actual Arrival Date,Estimated Delivery Date,Actual Delivery Date,MDA Date,Updated At
203678419,shipping,2025,PZQ,SCH,"30,006,000",12-Mar-2026,N/A,05-Jul-2025,06-Dec-2025,N/A,N/A,N/A,01-Oct-2025,20-Feb-2026
203370781,delivered,2024,PZQ,SCH,"34,713,000",03-Aug-2024,N/A,21-Mar-2024,06-Jun-2024,07-Sep-2024,N/A,31-Oct-2024,01-Sep-2024,17-Jan-2025
203037295,delivered,2023,PZQ,SCH,"5,643,000",24-Jul-2023,23-Mar-2023,10-Apr-2023,21-May-2023,24-Jul-2023,N/A,31-Aug-2023,01-Apr-2023,29-Sep-2023
202865194,delivered,2022,PZQ,SCH,"17,253,000",24-Jan-2023,27-Oct-2022,28-Oct-2022,24-Nov-2022,26-Jan-2023,N/A,25-Apr-2023,01-Apr-2022,04-Aug-2023
202865193,delivered,2022,PZQ,SCH,"20,007,000",18-Jan-2023,16-Oct-2022,18-Oct-2022,08-Nov-2022,18-Jan-2023,N/A,12-Apr-2023,01-Apr-2022,04-Aug-2023
202714783,delivered,2021,PZQ,SCH,"11,115,000",20-Dec-2021,27-Aug-2021,27-Aug-2021,15-Oct-2021,20-Dec-2021,N/A,03-Jun-2022,01-Mar-2021,26-May-2023
202375121,delivered,2020,PZQ,SCH,"38,205,000",20-Apr-2020,15-Jan-2020,14-Jan-2020,11-Feb-2020,24-Mar-2020,N/A,23-Jun-2020,01-Apr-2020,10-Jun-2022
202121080,delivered,2019,PZQ,SCH,"36,981,000",30-Jul-2019,14-Jan-2019,30-May-2019,12-Jun-2019,04-Aug-2019,N/A,25-Oct-2019,01-Jul-2019,08-Jun-2021
201797991,delivered,2018,PZQ,SCH,"26,532,000",18-Sep-2018,30-Jun-2018,10-Jul-2018,25-Jul-2018,18-Sep-2018,N/A,29-Oct-2018,01-Apr-2018,05-Aug-2020
201634162,delivered,2017,PZQ,SCH,"21,555,000",N/A,24-Jan-2017,02-May-2017,29-May-2017,16-Jul-2017,N/A,15-Nov-2017,01-Apr-2017,13-May-2022
201357623,delivered,2016,PZQ,SCH,"34,110,000",N/A,30-Nov-2015,N/A,21-Dec-2015,20-Dec-2015,N/A,15-Apr-2016,01-Jan-2016,05-Apr-2022
201096235,delivered,2015,PZQ,SCH,"15,003,000",N/A,15-Dec-2014,N/A,N/A,N/A,N/A,03-Jul-2015,01-Mar-2015,18-Oct-2021
201186420,delivered,2015,PZQ,SCH,"6,003,000",N/A,15-Dec-2014,N/A,N/A,12-Jul-2015,N/A,26-Sep-2015,01-Mar-2015,18-Oct-2021
200899563,delivered,2014,PZQ,SCH,"15,309,000",N/A,05-Jan-2013,N/A,N/A,10-Jun-2014,N/A,N/A,01-Mar-2014,18-Oct-2021
200768897,delivered,2013,PZQ,SCH,"5,634,000",N/A,08-Dec-2012,N/A,N/A,N/A,N/A,N/A,01-Feb-2014,18-Oct-2021
200699862,delivered,2013,PZQ,SCH,"4,374,000",N/A,08-Dec-2012,08-Dec-2012,N/A,09-Apr-2013,N/A,09-Apr-2013,01-Feb-2014,09-Apr-2019
200806308,delivered,2013,PZQ,SCH,"1,629,000",N/A,17-Nov-2013,N/A,N/A,N/A,N/A,N/A,01-Feb-2014,18-Oct-2021
200516931,delivered,2012,PZQ,SCH,"1,800,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09-Nov-2017
200516929,delivered,2012,PZQ,SCH,"3,501,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09-Nov-2017
200379357,delivered,2011,PZQ,SCH,"3,204,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09-Nov-2017
200281286,delivered,2011,PZQ,SCH,"1,800,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09-Nov-2017
200133672,delivered,2010,PZQ,SCH,"1,800,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09-Nov-2017
200133671,delivered,2010,PZQ,SCH,"2,502,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09-Nov-2017
