id,continent,region,whoRegion,admin0,admin0Id,admin0Fip,admin0Iso2,admin0Iso3,admin1,admin1Id,admin2,admin2Id,admin3Id,iusAdm,iusName,iuId,iuCode,year,endemicity,targetPop,popReq,popTrg,popTreat,cov,pc,effPc,pcN,effPcN,epiCov,epiPc,epiEffPc,epiPcN,epiEffPcN,mdaScheme,endemicityId
184124,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2020,Low prevalence (less than 10%),Adults,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,10
184125,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2021,Low prevalence (less than 10%),Adults,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,10
184126,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2022,Moderate prevalence (10%-49%),Adults,16595,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,9
184127,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2023,Moderate prevalence (10%-49%),Adults,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,9
184128,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2024,Moderate prevalence (10%-49%),Adults,6601,6335,2883,45.51,1,0,1,0,43.68,1,0,1,0,PZQ,9
184136,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2020,Low prevalence (less than 10%),PreSAC,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,10
184137,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2021,Low prevalence (less than 10%),PreSAC,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,10
184138,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2022,Moderate prevalence (10%-49%),PreSAC,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,9
184139,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2023,Moderate prevalence (10%-49%),PreSAC,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,9
184140,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2024,Moderate prevalence (10%-49%),PreSAC,1855,0,0,0,0,0,0,0,0,0,0,0,0,PZQ,9
184148,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2020,Low prevalence (less than 10%),SAC,14007,0,0,0,0,0,2,0,0,0,0,2,2,Not delivered,10
184149,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2021,Low prevalence (less than 10%),SAC,14370,0,0,0,0,0,2,0,0,0,0,2,2,Not delivered,10
184150,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2022,Moderate prevalence (10%-49%),SAC,22340,0,0,0,0,0,2,0,0,0,0,2,2,Not delivered,9
184151,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2023,Moderate prevalence (10%-49%),SAC,0,0,0,0,0,0,2,0,0,0,0,2,2,Not delivered,9
184152,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2024,Moderate prevalence (10%-49%),SAC,8887,3411,2981,87.39,1,1,3,1,33.54,1,0,3,2,PZQ,9
184160,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2020,Low prevalence (less than 10%),Total,14007,0,0,0,0,0,2,0,0,0,0,2,2,Not delivered,10
184161,Africa,Western Africa,AFRO,Nigeria,34,NI,NG,NGA,Abia,3775,Aba North,36337,0,ADM2,Aba North,36337,NGA0377536337,2021,Low prevalence (less than 10%),Total,14370,0,0,0,0,0,2,0,0,0,0,2,2,Not delivered,10
